prices.price,prices.tax.iptu,prices.tax.condo,features.bedrooms,features.bathrooms,features.suites,features.parkingSpaces,features.usableAreas,features.totalAreas,features.floors,features.unitsOnTheFloor,features.unitFloor,types.unit_Apartamento,types.unit_Casa,types.unit_Outros,address.zone_Zona Central,address.zone_Zona Norte,address.zone_Zona Oeste,address.zone_Zona Sul,sold
45000.0,0.0,150.0,0,0,0,1,62,62,0,0,0,0,0,1,0,0,1,0,0
45000.0,0.0,120.0,2,1,0,1,44,0,0,0,0,1,0,0,0,0,1,0,1
50000.0,0.0,100.0,0,0,0,0,132,132,0,0,0,0,0,1,0,0,1,0,1
50000.0,120.0,400.0,3,2,1,1,60,0,3,4,2,1,0,0,0,0,1,0,0
50000.0,0.0,0.0,0,0,0,0,200,200,0,0,0,0,0,1,0,0,1,0,1
45336.0,0.0,0.0,1,1,0,1,33,35,0,0,0,1,0,0,0,1,0,0,1
45000.0,0.0,0.0,0,0,0,0,120,120,0,0,0,0,0,1,0,0,1,0,1
45000.0,0.0,0.0,0,0,0,0,468,468,0,0,0,0,0,1,0,0,1,0,1
50000.0,0.0,0.0,0,0,0,0,180,180,0,0,1,0,0,1,0,0,1,0,1
50000.0,0.0,0.0,0,0,0,0,128,128,0,0,0,0,0,1,0,0,1,0,0
45000.0,0.0,300.0,0,0,0,0,82,82,0,0,1,0,0,1,0,0,1,0,0
45000.0,120.0,350.0,3,2,1,1,70,0,20,19,20,1,0,0,1,0,0,0,1
50000.0,120.0,350.0,3,2,1,1,70,0,20,19,20,1,0,0,1,0,0,0,1
50000.0,0.0,0.0,1,1,0,0,37,45,0,0,2,1,0,0,0,0,1,0,1
45020.0,0.0,0.0,0,0,0,0,120,120,0,0,0,0,0,1,0,0,1,0,0
45040.0,0.0,0.0,0,0,0,0,120,120,0,0,0,0,0,1,0,0,1,0,1
45000.0,0.0,0.0,0,0,0,0,150,150,0,0,0,0,0,1,0,0,1,0,0
45000.0,0.0,0.0,2,1,0,1,30,38,0,0,0,1,0,0,0,1,0,0,0
45000.0,0.0,0.0,0,0,0,0,128,0,0,0,0,0,0,1,0,0,1,0,0
